pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
Kepler-501 c,Kepler-501,Transit,2021,3.622760057,0.0688,1.68119739,87.351625,0.0331,80.45,939.0,5794.0,1.216,1.032,0.14,1125.24,14.886,14.7303
Kepler-502 b,Kepler-502,Transit,2016,4.28686431,0.0688,4.77,87.351625,0.0331,80.45,939.0,6125.0,1.22,1.15,0.05,1591.04,15.136,14.9719
Kepler-504 b,Kepler-504,Transit,2016,9.549275422,0.0688,1.59,87.351625,0.0331,80.45,939.0,3519.0,0.33,0.33,-0.31,99.0688,15.143,14.4582
Kepler-505 b,Kepler-505,Transit,2016,27.52197994,0.0688,2.6,87.351625,0.0331,80.45,939.0,3931.0,0.53,0.55,-0.19,283.41,15.607,15.115
Kepler-506 b,Kepler-506,Transit,2016,6.8834055,0.0688,2.73,87.351625,0.0331,80.45,939.0,6236.0,1.19,1.19,0.09,228.439,11.094,10.7836
Kepler-507 b,Kepler-507,Transit,2016,3.568096926,0.0688,1.3,87.351625,0.0331,80.45,939.0,6113.0,1.32,1.16,0.06,391.644,12.197,11.9224
Kepler-508 b,Kepler-508,Transit,2016,25.30889748,0.0688,1.64,87.351625,0.0331,80.45,939.0,6025.0,1.25,1.16,0.18,324.618,11.592,11.6039
Kepler-509 b,Kepler-509,Transit,2016,41.74600392,0.0688,2.49,87.351625,0.0331,80.45,939.0,6060.0,1.2,1.1,0.01,332.443,11.848,11.7836
Kepler-51 b,Kepler-51,Transit,2012,45.154,0.2514,7.1,2.1,0.04,80.45,543.0,6018.0,0.94,1.04,0.0195,783.831,14.885,14.6777
Kepler-51 c,Kepler-51,Transit,2012,85.312,0.384,9.0,4.0,0.014,80.45,439.0,6018.0,0.94,1.04,0.0195,783.831,14.885,14.6777
Kepler-51 d,Kepler-51,Transit,2014,130.194,0.509,9.7,7.6,0.008,80.45,381.0,6018.0,0.94,1.04,0.0195,783.831,14.885,14.6777
Kepler-510 b,Kepler-510,Transit,2016,19.55659418,0.0688,2.47,87.351625,0.0331,80.45,939.0,5746.0,1.41,0.91,-0.35,386.177,12.067,11.9222
Kepler-511 b,Kepler-511,Transit,2016,296.637865,0.0688,6.35,87.351625,0.0331,80.45,939.0,5770.0,1.2,1.0,0.01,651.999,12.711,12.5832
